Country Code,Year,Size,Value,Unit,Main Activity Sector Name,Main Activity Code,Country,ETS information,Active Installation,Entities
SK,2021.0,All sizes,5032880.0,units,24  Production of pig iron or steel,24,Slovakia,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SK,2021.0,All sizes,5952264.0,units,24  Production of pig iron or steel,24,Slovakia,4. Total surrendered units,all entities,3.0
SE,2018.0,All sizes,39513.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1 Freely allocated allowances,all entities,3.0
SE,2018.0,All sizes,3206354.0,units,24  Production of pig iron or steel,24,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,14.0
SE,2019.0,All sizes,37089.0,units,25 Production or processing of ferrous metals,25,Sweden,4. Total surrendered units,all entities,3.0
SE,2019.0,All sizes,181727.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Sweden,2.1 EU-ETS Verified Emission,all entities,1.0
SE,2019.0,All sizes,181727.0,units,28 Production or processing of non-ferrous metals,28,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,1.0
SE,2010.0,All sizes,7987631.0,units,24  Production of pig iron or steel,24,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,15.0
SE,2011.0,All sizes,686561.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2. Verified emissions,all entities,3.0
SE,2012.0,All sizes,47314.0,units,25 Production or processing of ferrous metals,25,Sweden,4. Total surrendered units,all entities,4.0
SE,2012.0,All sizes,67943.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1 Freely allocated allowances,all entities,4.0
SE,2012.0,All sizes,676053.0,units,23 Metal ore roasting or sintering,23,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SI,2022.0,All sizes,167286.0,units,24  Production of pig iron or steel,24,Slovenia,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SI,2022.0,All sizes,167286.0,units,24  Production of pig iron or steel,24,Slovenia,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SI,2023.0,All sizes,171626.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovenia,2.1 EU-ETS Verified Emission,all entities,3.0
SI,2024.0,All sizes,27668.0,units,24  Production of pig iron or steel,24,Slovenia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,3.0
SE,2013.0,All sizes,46570.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Sweden,2. Verified emissions,all entities,3.0
SE,2013.0,All sizes,46570.0,units,25 Production or processing of ferrous metals,25,Sweden,4. Total surrendered units,all entities,3.0
SE,2013.0,All sizes,669101.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2.1 EU-ETS Verified Emission,all entities,3.0
SE,2014.0,All sizes,42919.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SE,2014.0,All sizes,120554.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1.1 Freely allocated allowances,all entities,1.0
SE,2014.0,All sizes,668218.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1 Freely allocated allowances,all entities,3.0
SE,2014.0,All sizes,675214.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2. Verified emissions,all entities,3.0
SE,2015.0,All sizes,129126.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Sweden,2.1 EU-ETS Verified Emission,all entities,1.0
SK,2022.0,All sizes,6329256.0,units,24  Production of pig iron or steel,24,Slovakia,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SK,2023.0,All sizes,173983.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,2.0
SK,2024.0,All sizes,4792481.0,units,24  Production of pig iron or steel,24,Slovakia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,3.0
SE,2020.0,All sizes,37783.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1 Freely allocated allowances,all entities,3.0
SE,2020.0,All sizes,38817.0,units,25 Production or processing of ferrous metals,25,Sweden,4. Total surrendered units,all entities,3.0
SE,2021.0,All sizes,25671.0,units,25 Production or processing of ferrous metals,25,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SI,2025.0,All sizes,157638.0,units,24  Production of pig iron or steel,24,Slovenia,1.1 Freely allocated allowances,all entities,
SI,,All sizes,874605.0,units,24  Production of pig iron or steel,24,Slovenia,1. Total allocated allowances (EUA or EUAA),all entities,
SE,2014.0,All sizes,675214.0,units,23 Metal ore roasting or sintering,23,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,3.0
SE,2015.0,All sizes,45601.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Sweden,2.1 EU-ETS Verified Emission,all entities,3.0
SE,2015.0,All sizes,212006.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,1.0
SE,2015.0,All sizes,655795.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1 Freely allocated allowances,all entities,3.0
SE,2015.0,All sizes,3710824.0,units,24  Production of pig iron or steel,24,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,14.0
SE,2016.0,All sizes,49055.0,units,25 Production or processing of ferrous metals,25,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,3.0
SE,2016.0,All sizes,49055.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Sweden,2. Verified emissions,all entities,3.0
SE,2016.0,All sizes,118750.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Sweden,2.1 EU-ETS Verified Emission,all entities,1.0
SE,2016.0,All sizes,205979.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,1.0
SE,2016.0,All sizes,643267.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SE,2016.0,All sizes,677178.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2. Verified emissions,all entities,3.0
SE,2016.0,All sizes,3681142.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Sweden,2.1 EU-ETS Verified Emission,all entities,14.0
SE,2017.0,All sizes,162922.0,units,28 Production or processing of non-ferrous metals,28,Sweden,4. Total surrendered units,all entities,1.0
SE,2017.0,All sizes,711984.0,units,23 Metal ore roasting or sintering,23,Sweden,4. Total surrendered units,all entities,3.0
SK,,All sizes,66637.0,units,25 Production or processing of ferrous metals,25,Slovakia,4. Total surrendered units,all entities,
SK,,All sizes,29157275.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2.1 EU-ETS Verified Emission,all entities,
SK,,All sizes,324244.0,units,25 Production or processing of ferrous metals,25,Slovakia,1. Total allocated allowances (EUA or EUAA),all entities,
SE,2021.0,All sizes,132143.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,1.0
SE,2021.0,All sizes,163077.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Sweden,2. Verified emissions,all entities,1.0
SE,2021.0,All sizes,642191.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2.1 EU-ETS Verified Emission,all entities,3.0
SE,2022.0,All sizes,125623.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1.1 Freely allocated allowances,all entities,1.0
SE,2022.0,All sizes,596859.0,units,23 Metal ore roasting or sintering,23,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,3.0
SE,2023.0,All sizes,29690.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1 Freely allocated allowances,all entities,3.0
SI,,All sizes,791056.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovenia,2.1 EU-ETS Verified Emission,all entities,
SK,2005.0,All sizes,16167.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Slovakia,2.1 EU-ETS Verified Emission,all entities,1.0
SK,2006.0,All sizes,9710566.0,units,24  Production of pig iron or steel,24,Slovakia,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
SK,2006.0,All sizes,10250169.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2. Verified emissions,all entities,3.0
SK,2006.0,All sizes,10250169.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2.1 EU-ETS Verified Emission,all entities,3.0
SK,2007.0,All sizes,218.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Slovakia,2. Verified emissions,all entities,1.0
SK,2007.0,All sizes,25566.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,1.1 Freely allocated allowances,all entities,1.0
SE,2016.0,All sizes,677178.0,units,23 Metal ore roasting or sintering,23,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,3.0
SE,2016.0,All sizes,3681142.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Sweden,2. Verified emissions,all entities,14.0
SE,2017.0,All sizes,50517.0,units,25 Production or processing of ferrous metals,25,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,3.0
SE,2017.0,All sizes,162922.0,units,28 Production or processing of non-ferrous metals,28,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,1.0
SE,2017.0,All sizes,711984.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2. Verified emissions,all entities,3.0
SE,2017.0,All sizes,3513289.0,units,24  Production of pig iron or steel,24,Sweden,4. Total surrendered units,all entities,14.0
SE,2018.0,All sizes,39513.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,3.0
