Country Code,Year,Size,Value,Unit,Main Activity Sector Name,Main Activity Code,Country,ETS information,Active Installation,Entities
SI,2008.0,All sizes,174921.0,units,24  Production of pig iron or steel,24,Slovenia,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SI,2008.0,All sizes,188654.0,units,24  Production of pig iron or steel,24,Slovenia,4. Total surrendered units,all entities,3.0
SI,2009.0,All sizes,2182.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Slovenia,2. Verified emissions,all entities,1.0
SI,2009.0,All sizes,3204.0,units,25 Production or processing of ferrous metals,25,Slovenia,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,1.0
RO,,All sizes,99803.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Romania,2. Verified emissions,all entities,
RO,,All sizes,1938129.0,units,25 Production or processing of ferrous metals,25,Romania,4. Total surrendered units,all entities,
RO,,All sizes,25017581.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Romania,2. Verified emissions,all entities,
RO,,All sizes,59590819.0,units,24  Production of pig iron or steel,24,Romania,1.1 Freely allocated allowances,all entities,
RO,,All sizes,174957.0,units,28 Production or processing of non-ferrous metals,28,Romania,1.1 Freely allocated allowances,all entities,
SK,2017.0,All sizes,324017.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Slovakia,2. Verified emissions,all entities,2.0
SK,2017.0,All sizes,6059246.0,units,24  Production of pig iron or steel,24,Slovakia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,4.0
