freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,IVOL_IMP,TOTAL,WORLD,EL	75.3 	80.1 	81.6 	86.7 	87.8 	92.6 	94.6 	90.6 	100.0 	104.6 	104.0 	109.0 
A,IVOL_IMP,TOTAL,WORLD,ES	96.3 	102.0 	104.3 	105.0 	108.0 	108.1 	106.8 	92.5 	100.0 	105.5 	96.3 	95.8 
A,IVOL_IMP,TOTAL,WORLD,EU27_2020	90.7 	92.5 	94.1 	95.7 	98.2 	101.2 	100.8 	93.1 	100.0 	109.8 	100.5 	99.2 
A,IVOL_IMP,TOTAL,WORLD,FI	93.2 	94.1 	93.5 	97.3 	101.8 	102.0 	100.6 	95.9 	100.0 	106.4 	90.7 	88.7 
A,IVOL_IMP,TOTAL,WORLD,FR	111.8 	110.2 	110.4 	109.7 	109.9 	109.5 	107.6 	92.5 	100.0 	106.1 	96.9 	90.6 
A,IVOL_IMP,TOTAL,WORLD,HR	64.7 	68.9 	76.8 	82.9 	87.3 	91.7 	95.9 	92.2 	100.0 	109.3 	111.7 	122.4 
A,IVOL_IMP,TOTAL,WORLD,HU	77.3 	81.3 	83.8 	86.5 	92.6 	96.1 	99.7 	95.5 	100.0 	103.6 	98.7 	93.6 
A,IVOL_IMP,TOTAL,WORLD,IE	75.6 	83.1 	88.0 	93.5 	97.7 	105.0 	100.5 	94.8 	100.0 	114.5 	112.6 	106.2 
A,IVOL_IMP,TOTAL,WORLD,IT	96.9 	97.4 	100.2 	101.3 	103.2 	103.6 	101.0 	90.5 	100.0 	103.9 	100.2 	97.4 
A,IVOL_IMP,TOTAL,WORLD,LT	77.3 	79.9 	83.3 	85.4 	91.6 	93.3 	95.9 	92.3 	100.0 	105.9 	100.4 	93.7 
A,IVOL_IMP,TOTAL,WORLD,LU	114.7 	114.0 	114.9 	109.0 	106.8 	102.8 	104.1 	90.5 	100.0 	97.0 	85.9 	81.5 
A,IVOL_IMP,TOTAL,WORLD,LV	78.8 	80.0 	78.8 	81.0 	86.7 	92.7 	93.7 	90.9 	100.0 	103.0 	97.1 	87.8 
A,IVOL_IMP,TOTAL,WORLD,MT	63.3 	73.2 	83.0 	90.2 	84.7 	92.5 	110.0 	92.3 	100.0 	111.3 	112.6 	132.1 
A,IVOL_IMP,TOTAL,WORLD,NL	83.7 	84.8 	87.7 	88.8 	93.3 	95.9 	97.5 	91.6 	100.0 	108.5 	101.5 	101.8 
A,IVOL_IMP,TOTAL,WORLD,PL	70.7 	75.9 	78.5 	80.0 	85.5 	90.3 	91.4 	88.6 	100.0 	103.9 	98.2 	99.6 
A,IVOL_IMP,TOTAL,WORLD,PT	80.0 	84.3 	88.2 	91.5 	97.2 	100.8 	105.4 	90.8 	100.0 	107.1 	105.9 	109.5 
A,IVOL_IMP,TOTAL,WORLD,RO	78.2 	81.6 	86.8 	92.4 	97.0 	98.1 	98.9 	92.9 	100.0 	110.4 	107.0 	110.3 
A,IVOL_IMP,TOTAL,WORLD,SE	92.6 	94.9 	97.0 	99.5 	99.4 	102.3 	98.9 	92.4 	100.0 	101.3 	95.6 	92.5 
A,IVOL_IMP,TOTAL,WORLD,SI	64.8 	67.0 	71.1 	74.1 	80.8 	86.4 	92.9 	90.7 	100.0 	105.7 	110.9 	130.7 
A,IVOL_IMP,TOTAL,WORLD,SK	96.2 	103.5 	103.9 	102.6 	104.7 	109.1 	103.7 	95.1 	100.0 	100.7 	98.8 	98.6 
A,RT_IVOL,TOTAL,WORLD,AT	100.2 	103.1 	102.3 	100.5 	101.6 	102.6 	104.1 	104.1 	100.0 	100.6 	108.2 	110.3 
A,RT_IVOL,TOTAL,WORLD,BE	101.2 	99.6 	99.9 	97.6 	99.1 	99.1 	101.1 	100.9 	100.0 	98.9 	97.2 	101.3 
A,RT_IVOL,TOTAL,WORLD,BG	101.8 	99.0 	97.1 	101.6 	104.2 	103.5 	103.0 	101.6 	100.0 	99.6 	103.2 	104.1 
