freq,indic_et,sitc06,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_EXP_WRL,TOTAL,IN	2.3 	2.1 	2.0 	2.1 	2.1 	2.1 	2.1 	2.0 	2.2 	2.3 	2.3 	2.3 
A,PC_EXP_WRL,TOTAL,JP	4.8 	4.6 	4.8 	5.1 	4.9 	4.8 	4.7 	4.8 	4.3 	3.8 	3.8 	3.7 
A,PC_EXP_WRL,TOTAL,KR	3.8 	3.9 	4.0 	3.9 	4.1 	3.9 	3.6 	3.8 	3.7 	3.5 	3.4 	3.6 
A,PC_EXP_WRL,TOTAL,MX	2.6 	2.7 	2.9 	3.0 	2.9 	2.9 	3.1 	3.1 	2.8 	2.9 	3.2 	3.2 
A,PC_EXP_WRL,TOTAL,RU	3.6 	3.3 	2.6 	2.4 	2.7 	2.9 	2.8 	2.5 	2.8 	: 	: 	: 
A,PC_EXP_WRL,TOTAL,SG	2.8 	2.8 	2.7 	2.7 	2.6 	2.7 	2.6 	2.8 	2.6 	2.6 	2.5 	2.6 
A,PC_EXP_WRL,TOTAL,UK	3.7 	3.4 	3.5 	3.3 	3.1 	3.2 	3.1 	2.9 	2.7 	2.7 	2.8 	2.6 
A,PC_EXP_WRL,TOTAL,US	10.6 	10.9 	11.4 	11.5 	10.9 	10.7 	10.9 	10.6 	10.0 	10.4 	10.8 	10.8 
A,PC_IMP_WRL,TOTAL,CA	3.0 	3.0 	3.1 	3.1 	3.0 	2.9 	2.9 	2.9 	2.7 	2.8 	2.9 	2.7 
A,PC_IMP_WRL,TOTAL,EU27_2020	14.0 	13.9 	13.5 	13.5 	13.8 	14.1 	13.9 	14.2 	13.9 	15.3 	14.0 	13.3 
A,PC_IMP_WRL,TOTAL,IN	3.0 	3.0 	2.9 	2.7 	3.1 	3.2 	3.1 	2.7 	3.2 	3.5 	3.5 	3.5 
A,PC_IMP_WRL,TOTAL,JP	5.4 	5.2 	4.6 	4.6 	4.6 	4.7 	4.6 	4.6 	4.3 	4.3 	3.9 	3.7 
A,PC_IMP_WRL,TOTAL,KR	3.3 	3.4 	3.2 	3.1 	3.3 	3.3 	3.2 	3.4 	3.4 	3.5 	3.3 	3.2 
A,PC_IMP_WRL,TOTAL,MX	2.5 	2.6 	2.9 	2.9 	2.9 	2.9 	2.9 	2.8 	2.8 	2.9 	3.1 	3.1 
A,PC_IMP_WRL,TOTAL,RU	2.0 	1.9 	1.3 	1.6 	1.8 	1.5 	1.6 	1.7 	1.6 	: 	: 	: 
A,PC_IMP_WRL,TOTAL,SG	2.5 	2.4 	2.3 	2.2 	2.3 	2.3 	2.3 	2.4 	2.3 	2.3 	2.2 	2.3 
A,PC_IMP_WRL,TOTAL,UK	4.3 	4.5 	4.7 	4.8 	4.4 	4.2 	4.4 	4.6 	3.8 	4.0 	4.1 	4.1 
A,PC_IMP_WRL,TOTAL,US	15.0 	15.6 	17.1 	17.1 	16.5 	16.3 	16.4 	17.4 	16.3 	16.3 	16.3 	16.8 
